Nazwa;Produkcja energii elektrycznej [GWh];Zużycie energii elektrycznej [GWh];Udział energii odnawialnej w produkcji energii elektrycznej [%];Stosunek produkcji energii elektrycznej do zużycia energii elektrycznej [%];Powierzchnia ogółem [ha];Udział powierzchni użytków rolnych w powierzchni ogółem [%];Udział powierzchni terenów przemysłowych w powierzchni ogółem [%];Udział powierzchni terenów mieszkaniowych w powierzchni ogółem [%];Udział powierzchni terenów rekreacji i wypoczynku w powierzchni ogółem [%];Udział powierzchni gruntów pod wodami w powierzchni ogółem [%];Udział powierzchni nieużytków w powierzchni ogółem [%]
dolnośląskie;15527.6;15677;10.3;99;1994704;59.3;0.8;1.3;0.4;0.9;0.7
kujawsko-pomorskie;7168.4;8561;54.6;83.7;1797155;64.8;0.4;1.3;0.2;2.7;2.5
lubelskie;1901.5;5900;51.6;32.2;2512243;70.2;0.2;0.5;0.1;0.8;0.9
lubuskie;3340.6;3919;35.7;85.2;1398772;40.5;0.3;0.8;0.3;1.8;1.3
łódzkie;35539.7;12795;6.3;277.8;1821898;70.2;0.5;1.4;0.2;0.7;0.8
małopolskie;5335.6;13477;20.6;39.6;1518359;60;0.6;2.1;0.3;1.5;0.8
mazowieckie;33600.9;30166;7.3;111.4;3555880;67.6;0.4;1.7;0.2;1.2;1
opolskie;12942.9;5744;5.6;225.3;941160;63.9;0.5;1.2;0.4;1.4;0.4
podkarpackie;2157.4;5654;49.5;38.2;1784537;53.7;0.3;1.1;0.2;1.2;0.6
podlaskie;1605.7;3407;80.3;47.1;2018685;60.2;0.2;0.5;0.1;1.4;2.7
pomorskie;6323.1;9059;63.9;69.8;1833572;49.9;0.4;1.3;0.2;4.2;2.3
śląskie;23648.3;27110;9.5;87.2;1233407;50.1;1.9;4.6;0.7;1.6;1
świętokrzyskie;9787.6;5141;20.8;190.4;1170878;64.5;0.4;0.9;0.1;0.8;0.7
warmińsko-mazurskie;2069.7;3763;95.6;55;2417362;54.3;0.2;0.7;0.1;5.7;2.7
wielkopolskie;9055.8;12676;52.2;71.4;2982675;64.4;0.4;1.3;0.3;1.5;1.2
zachodniopomorskie;9742;6210;62.6;156.9;2290743;49.2;0.3;0.6;0.3;5.3;3.3
